,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M,Deaths/1M,Total Tests,Tests/1M,Population,Continent,%Inc Cases,%Inc Deaths,%Inc Recovered
83,Ethiopia,467575,77.0,7426,2.0,409066,116.0,51083,160,3910.0,62.0,4433520,37079,119570556,Africa,0.016467946318772388,0.026932399676811204,0.02835728219896056
84,Egypt,457081,2129.0,23409,60.0,388943,1243.0,44729,122,4334.0,222.0,3693367,35022,105458331,Africa,0.46578177609657806,0.2563116749967961,0.3195841035833014
85,Mongolia,456866,553.0,2146,1.0,313256,-1.0,141464,192,135820.0,638.0,4030048,1198081,3363753,Asia,0.12104205609522267,0.046598322460391424,-0.00031922772428939907
86,Estonia,423496,2895.0,2115,2.0,307285,735.0,114096,25,318902.0,1593.0,2978591,2242949,1327980,Europe,0.6835955947635869,0.09456264775413711,0.23919162992010676
87,Armenia,407074,695.0,8186,19.0,375612,2306.0,23276,-1,136960.0,2754.0,2828454,951632,2972215,Asia,0.17073062882915635,0.23210359149767895,0.6139313972929512
88,Honduras,403973,-1.0,10595,-1.0,127289,-1.0,266089,105,39763.0,1043.0,1263329,124348,10159623,North America,-0.000247541296076718,-0.009438414346389807,-0.0007856138393733945
89,Oman,367679,1979.0,4211,3.0,343594,2547.0,19874,88,69155.0,792.0,25000000,4702140,5316728,Asia,0.5382412376012772,0.07124198527665639,0.7412818617321606
90,Bosnia and Herzegovina,364610,617.0,15096,65.0,192218,-1.0,157296,-1,112265.0,4648.0,1671944,514799,3247759,Europe,0.16922190834041853,0.4305776364599894,-0.0005202426411678407
91,Qatar,351402,601.0,658,2.0,342554,964.0,8190,37,125152.0,234.0,3344225,1191046,2807805,Asia,0.17102919163806693,0.303951367781155,0.28141548485786183
92,Kenya,322497,24.0,5632,1.0,302829,85.0,14036,4,5791.0,101.0,3299132,59243,55687869,Africa,0.007441929692369232,0.01775568181818182,0.028068646001538824
93,Zambia,309579,77.0,3938,1.0,303143,215.0,2498,5,16110.0,205.0,3229046,168033,19216699,Africa,0.02487248812096428,0.025393600812595223,0.0709236235044187
94,Cyprus,293040,2930.0,788,3.0,124370,-1.0,167882,60,239883.0,645.0,9477138,7758010,1221594,Asia,0.9998634998634999,0.3807106598984772,-0.000804052424218059
95,North Macedonia,287481,465.0,8768,21.0,269014,1880.0,9699,-1,137997.0,4209.0,1847971,887068,2083235,Europe,0.16174981998810356,0.239507299270073,0.6988483870727918
96,Albania,268304,6.0,3414,-1.0,256117,-1.0,8773,23,93398.0,1188.0,1704867,593471,2872707,Europe,0.0022362693064583456,-0.029291154071470416,-0.00039044655372349357
97,Algeria,262165,413.0,6744,15.0,175048,340.0,80373,27,5809.0,149.0,230861,5115,45132716,Africa,0.1575343772051952,0.2224199288256228,0.1942324391024176
98,Botswana,260491,836.0,2603,6.0,253947,101.0,3941,1,107266.0,1072.0,2026898,834640,2428469,Africa,0.3209323930577256,0.23050326546292738,0.03977207842581326
99,Réunion,256787,-1.0,565,-1.0,216172,-1.0,40050,60,283535.0,624.0,1424291,1572654,905661,Africa,-0.00038942781371331106,-0.17699115044247787,-0.00046259460059582186
100,Nigeria,254016,-1.0,3141,-1.0,230397,-1.0,20478,11,1185.0,15.0,4177940,19486,214405269,Africa,-0.0003936759889140842,-0.03183699458771092,-0.0004340334292547212
101,Uzbekistan,233761,322.0,1604,3.0,218078,1023.0,14079,23,6824.0,47.0,1377915,40226,34254516,Asia,0.13774752845855381,0.18703241895261846,0.46909821256614603
102,Zimbabwe,231603,222.0,5374,-1.0,223337,204.0,2892,12,15224.0,353.0,2030669,133481,15213214,Africa,0.09585368065180504,-0.018608113137327877,0.09134178394086068
103,Montenegro,226692,225.0,2638,3.0,220832,296.0,3222,60,360862.0,4199.0,1144569,1821996,628195,Europe,0.09925361283150706,0.11372251705837756,0.13403854513838576
104,Mozambique,224719,16.0,2189,-1.0,218433,155.0,4097,13,6878.0,67.0,1250148,38264,32671766,Africa,0.007120003204001442,-0.04568296025582458,0.07095997399660309
105,Kyrgyzstan,200066,46.0,2930,3.0,192971,236.0,4165,131,29868.0,437.0,1907195,284722,6698439,Asia,0.02299241250387372,0.10238907849829351,0.12229816915495074
106,Luxembourg,174856,1437.0,976,7.0,156761,6947.0,17119,12,272165.0,1519.0,4036845,6283379,642464,Europe,0.8218190968568422,0.7172131147540983,4.431586938077711
107,Afghanistan,171076,472.0,7501,5.0,149827,300.0,13748,1124,4240.0,186.0,877991,21761,40346927,Asia,0.27590076924875495,0.06665777896280496,0.20023093300940417
108,Uganda,162755,59.0,3574,2.0,99626,47.0,59555,97,3385.0,74.0,2410624,50141,48076858,Africa,0.03625080642683789,0.05595970900951316,0.047176439885170535
109,Maldives,160076,1015.0,289,-1.0,143956,1107.0,15831,25,287930.0,520.0,2135598,3841321,555954,Asia,0.6340738149379045,-0.34602076124567477,0.7689849676289977
110,Ghana,157917,166.0,1426,7.0,155964,642.0,527,4,4916.0,44.0,2272998,70760,32122576,Africa,0.10511851162319447,0.4908835904628331,0.41163345387397093
111,Namibia,156807,42.0,3995,2.0,152027,35.0,785,3,59956.0,1527.0,938866,358978,2615386,Africa,0.026784518548279096,0.05006257822277847,0.023022226315062455
112,El Salvador,147786,1639.0,4002,8.0,123870,820.0,19914,153,22600.0,612.0,1693464,258970,6539216,North America,1.1090360385963487,0.19990004997501248,0.6619843384193106
113,Laos,139244,216.0,597,3.0,7660,-1.0,130987,-1,18699.0,80.0,997658,133977,7446486,Asia,0.1551233805406337,0.5025125628140703,-0.013054830287206266
114,Rwanda,129311,13.0,1452,2.0,45522,-1.0,82337,-1,9599.0,108.0,4663942,346204,13471646,Africa,0.010053282396702523,0.13774104683195593,-0.0021967400377839287
115,Jamaica,127163,109.0,2750,11.0,73461,193.0,50952,25,42642.0,922.0,823765,276236,2982103,North America,0.08571675723284289,0.4,0.26272443881787616
116,Cambodia,123955,512.0,3015,-1.0,118960,156.0,1980,-1,7252.0,176.0,2821233,165046,17093589,Asia,0.41305312411762335,-0.03316749585406302,0.13113651647612642
117,Trinidad and Tobago,120895,510.0,3531,5.0,95743,375.0,21621,22,85934.0,2510.0,596000,423648,1406829,North America,0.421853674676372,0.1416029453412631,0.3916735427133054
118,Guadeloupe,119534,-1.0,808,-1.0,2250,-1.0,116476,21,298660.0,2019.0,855965,2138656,400235,North America,-0.0008365820603342981,-0.12376237623762376,-0.044444444444444446
119,Cameroon,118675,-1.0,1915,-1.0,106050,-1.0,10710,13,4298.0,69.0,1751774,63436,27614880,Africa,-0.0008426374552348852,-0.05221932114882506,-0.000942951438000943
120,Martinique,101298,-1.0,854,-1.0,104,-1.0,100340,26,270276.0,2279.0,645857,1723232,374794,North America,-0.0009871863215463285,-0.117096018735363,-0.9615384615384616
121,Angola,98514,-1.0,1898,-1.0,96377,-1.0,239,-1,2854.0,55.0,1401427,40598,34519502,Africa,-0.0010150841504760744,-0.052687038988408846,-0.0010375919565871524
122,Iceland,92221,1984.0,55,1.0,75685,-1.0,16481,3,267439.0,159.0,1677190,4863817,344830,Europe,2.1513538131228245,1.8181818181818181,-0.0013212657726101606
123,DRC,85793,17.0,1316,-1.0,50930,-1.0,33547,-1,913.0,14.0,846704,9011,93964641,Africa,0.019815136433042325,-0.07598784194528875,-0.00196347928529354
124,Senegal,85440,28.0,1957,-1.0,83199,67.0,284,4,4894.0,112.0,998521,57197,17457684,Africa,0.03277153558052435,-0.0510986203372509,0.08052981406026515
125,Malawi,85033,8.0,2598,2.0,72867,376.0,9568,67,4267.0,130.0,538585,27024,19929610,Africa,0.009408112144696765,0.07698229407236336,0.5160086184418187
126,Ivory Coast,81213,95.0,791,2.0,79003,110.0,1419,-1,2960.0,29.0,1384681,50471,27435029,Africa,0.11697634615147823,0.2528445006321113,0.13923521891573737
127,French Guiana,77279,115.0,385,1.0,11254,-1.0,65640,7,248321.0,1237.0,582570,1871975,311206,South America,0.14881144942351737,0.2597402597402597,-0.00888572951839346
128,Suriname,77036,61.0,1299,1.0,49317,2.0,26420,12,129441.0,2183.0,223540,375607,595144,South America,0.07918375824289943,0.07698229407236336,0.0040553967191840545
129,Malta,70089,72.0,592,3.0,67457,121.0,2040,3,158055.0,1335.0,1211456,2731901,443448,Europe,0.10272653340752472,0.5067567567567568,0.17937352683931987
130,Eswatini,68815,20.0,1384,1.0,67258,35.0,173,11,58337.0,1173.0,467995,396735,1179617,Africa,0.029063430938022234,0.0722543352601156,0.05203841922150525
